BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
a_drop_views.py,2021-12-15 17:30:07.753105,Pass,Successful Run,2021-12-15 17:30:08.006105,0.253,0
d_agency.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.d_agency because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.d_agency""
PL/pgSQL function ""d_agency"" line 11 at SQL statement
",2021-12-15 17:30:07,0,0
d_customer.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.d_customer because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.d_customer""
PL/pgSQL function ""d_customer"" line 13 at SQL statement
",2021-12-15 17:30:07,0,0
d_naics.py,2021-12-15 17:30:08.055106,Pass,Successful Run,2021-12-15 17:30:17.598992,9.543886,1276
d_psc.py,2021-12-15 17:30:17.600993,Pass,Successful Run,2021-12-15 17:30:29.412863,11.81187,3122
d_region.py,2021-12-15 17:30:29.414900,Pass,Successful Run,2021-12-15 17:30:29.505863,0.090963,11
f_advantage.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.f_advantage because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.f_advantage""
PL/pgSQL function ""f_advantage"" line 12 at SQL statement
",2021-12-15 17:30:07,0,0
f_budget_authority.py,2021-12-15 17:30:29.523867,Pass,Successful Run,2021-12-15 17:30:30.345854,0.821987,199550
f_budget_outlays.py,2021-12-15 17:30:30.347853,Pass,Successful Run,2021-12-15 17:30:31.243842,0.895989,205250
f_budget_receipts.py,2021-12-15 17:30:31.244842,Pass,Successful Run,2021-12-15 17:30:31.450840,0.205998,12600
f_campaign.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.f_campaign because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.f_campaign""
PL/pgSQL function ""f_campaign"" line 13 at SQL statement
",2021-12-15 17:30:07,0,0
f_case.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.f_case because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.f_case""
PL/pgSQL function ""f_case"" line 13 at SQL statement
",2021-12-15 17:30:07,0,0
f_ebuy.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.f_ebuy because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.f_ebuy""
PL/pgSQL function ""f_ebuy"" line 12 at SQL statement
",2021-12-15 17:30:07,0,0
f_eloqua_emailclick.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.f_eloqua_emailclick because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.f_eloqua_emailclick""
PL/pgSQL function ""f_eloqua_emailclick"" line 12 at SQL statement
",2021-12-15 17:30:07,0,0
f_eloqua_emailopen.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.f_eloqua_emailopen because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.f_eloqua_emailopen""
PL/pgSQL function ""f_eloqua_emailopen"" line 12 at SQL statement
",2021-12-15 17:30:07,0,0
f_eloqua_emailsend.py,2021-12-15 17:30:07,Fail,"cannot drop table customer360.f_eloqua_emailsend because other objects depend on it
HINT:  Use DROP ... CASCADE to drop the dependent objects too.
CONTEXT:  SQL statement ""DROP TABLE IF EXISTS customer360.f_eloqua_emailsend""
PL/pgSQL function ""f_eloqua_emailsend"" line 12 at SQL statement
",2021-12-15 17:30:07,0,0
